,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
130,131,7.4,2.8,6.1,1.9,Iris-virginica
147,148,6.5,3.0,5.2,2.0,Iris-virginica
42,43,4.4,3.2,1.3,0.2,Iris-setosa
42,43,4.4,3.2,1.3,0.2,Iris-setosa
81,82,5.5,2.4,3.7,1.0,Iris-versicolor
149,150,5.9,3.0,5.1,1.8,Iris-virginica
16,17,5.4,3.9,1.3,0.4,Iris-setosa
30,31,4.8,3.1,1.6,0.2,Iris-setosa
14,15,5.8,4.0,1.2,0.2,Iris-setosa
120,121,6.9,3.2,5.7,2.3,Iris-virginica
42,43,4.4,3.2,1.3,0.2,Iris-setosa
94,95,5.6,2.7,4.2,1.3,Iris-versicolor
103,104,6.3,2.9,5.6,1.8,Iris-virginica
94,95,5.6,2.7,4.2,1.3,Iris-versicolor
49,50,5.0,3.3,1.4,0.2,Iris-setosa
36,37,5.5,3.5,1.3,0.2,Iris-setosa
59,60,5.2,2.7,3.9,1.4,Iris-versicolor
139,140,6.9,3.1,5.4,2.1,Iris-virginica
49,50,5.0,3.3,1.4,0.2,Iris-setosa
68,69,6.2,2.2,4.5,1.5,Iris-versicolor
127,128,6.1,3.0,4.9,1.8,Iris-virginica
119,120,6.0,2.2,5.0,1.5,Iris-virginica
141,142,6.9,3.1,5.1,2.3,Iris-virginica
63,64,6.1,2.9,4.7,1.4,Iris-versicolor
15,16,5.7,4.4,1.5,0.4,Iris-setosa
49,50,5.0,3.3,1.4,0.2,Iris-setosa
11,12,4.8,3.4,1.6,0.2,Iris-setosa
88,89,5.6,3.0,4.1,1.3,Iris-versicolor
9,10,4.9,3.1,1.5,0.1,Iris-setosa
37,38,4.9,3.1,1.5,0.1,Iris-setosa
1,2,4.9,3.0,1.4,0.2,Iris-setosa
1,2,4.9,3.0,1.4,0.2,Iris-setosa
109,110,7.2,3.6,6.1,2.5,Iris-virginica
89,90,5.5,2.5,4.0,1.3,Iris-versicolor
47,48,4.6,3.2,1.4,0.2,Iris-setosa
92,93,5.8,2.6,4.0,1.2,Iris-versicolor
5,6,5.4,3.9,1.7,0.4,Iris-setosa
135,136,7.7,3.0,6.1,2.3,Iris-virginica
22,23,4.6,3.6,1.0,0.2,Iris-setosa
57,58,4.9,2.4,3.3,1.0,Iris-versicolor
35,36,5.0,3.2,1.2,0.2,Iris-setosa
77,78,6.7,3.0,5.0,1.7,Iris-versicolor
26,27,5.0,3.4,1.6,0.4,Iris-setosa
26,27,5.0,3.4,1.6,0.4,Iris-setosa
1,2,4.9,3.0,1.4,0.2,Iris-setosa
57,58,4.9,2.4,3.3,1.0,Iris-versicolor
49,50,5.0,3.3,1.4,0.2,Iris-setosa
62,63,6.0,2.2,4.0,1.0,Iris-versicolor
62,63,6.0,2.2,4.0,1.0,Iris-versicolor
31,32,5.4,3.4,1.5,0.4,Iris-setosa
92,93,5.8,2.6,4.0,1.2,Iris-versicolor
14,15,5.8,4.0,1.2,0.2,Iris-setosa
75,76,6.6,3.0,4.4,1.4,Iris-versicolor
135,136,7.7,3.0,6.1,2.3,Iris-virginica
83,84,6.0,2.7,5.1,1.6,Iris-versicolor
33,34,5.5,4.2,1.4,0.2,Iris-setosa
62,63,6.0,2.2,4.0,1.0,Iris-versicolor
25,26,5.0,3.0,1.6,0.2,Iris-setosa
30,31,4.8,3.1,1.6,0.2,Iris-setosa
138,139,6.0,3.0,4.8,1.8,Iris-virginica
60,61,5.0,2.0,3.5,1.0,Iris-versicolor
97,98,6.2,2.9,4.3,1.3,Iris-versicolor
80,81,5.5,2.4,3.8,1.1,Iris-versicolor
114,115,5.8,2.8,5.1,2.4,Iris-virginica
19,20,5.1,3.8,1.5,0.3,Iris-setosa
141,142,6.9,3.1,5.1,2.3,Iris-virginica
81,82,5.5,2.4,3.7,1.0,Iris-versicolor
78,79,6.0,2.9,4.5,1.5,Iris-versicolor
49,50,5.0,3.3,1.4,0.2,Iris-setosa
57,58,4.9,2.4,3.3,1.0,Iris-versicolor
90,91,5.5,2.6,4.4,1.2,Iris-versicolor
76,77,6.8,2.8,4.8,1.4,Iris-versicolor
125,126,7.2,3.2,6.0,1.8,Iris-virginica
11,12,4.8,3.4,1.6,0.2,Iris-setosa
34,35,4.9,3.1,1.5,0.1,Iris-setosa
79,80,5.7,2.6,3.5,1.0,Iris-versicolor
