Index ,Hypothesis ,No_of_experiments,Selected_features,Minimum_sample_size ,Test_sizes,Sampling_technique ,Stratified_on,Master_campaign_name,Sub_campaign_names,Date_of_requirement,Campaign_start_date ,Campaign_end_date ,Campaign_type,Conversion_metric,Conversion_period 
1,H,2,['Android'],452,"[452, 452]",Random,[],XYZ,"['ExperimentName2', 'Exper2']",17-04-2023,18-04-2023,07-05-2023,Push,Retention rate,10
2,H,4,"['Android', 'Etb']",430,"[465, 430, 430, 430]",Random,[],XYZ,"['Experiment1', 'Experiment2', 'Exper3', 'Experiment4']",17-04-2023,21-04-2023,30-04-2023,Push,Retention rate,10
3,Hypothesis,4,['Android'],452,"[452, 452, 452, 452]",Random,[],XYZ,"['ExperimentName2', 'ExperimentName3', 'Exper7', 'Experiment4']",18-04-2023,21-04-2023,07-05-2023,Push,Retention rate,10
4,Hypothesis,4,"['Android', 'Etb']",452,"[452, 452, 452, 452]",Random,[],XYZ,"['ExperimentName2', ' Experiment5', 'Sys5', 'Exper4']",18-04-2023,22-04-2023,07-05-2023,Push,Retention rate,10
5,Hypot,2,['Ptb'],452,"[452, 452]",Random,[],XYZ,"['ExperimentName2', 'Exper2']",18-04-2023,19-04-2023,30-04-2023,Push,Retention rate,10
6,H,3,"['Android', 'Ptb']",452,"[452, 452, 452]",Random,[],XYZ,"['ExperimentName2', 'ExperimentName3', 'Experiment3']",18-04-2023,20-04-2023,30-04-2023,Push,Retention rate,10
7,H,2,[],7225,"[7225, 7229]",Random,['Soa_Used'],XYZ,"['ExperimentName2', 'Exper2']",24-04-2023,28-04-2023,07-05-2023,Push,Retention rate,10
8,H,1,['Android'],452,[452],Systematic,[],XYZ,"['', '', '', '', 'XYZ', 'XYZ']",24-04-2023,28-04-2023,30-04-2023,Push,Retention rate,10
9,H,3,['Perm Block'],452,"[452, 452, 452]",Random,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",24-04-2023,22-04-2023,30-04-2023,Push,Retention rate,10
10,H,3,['Android'],452,"[452, 452, 452]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",24-04-2023,29-04-2023,30-04-2023,Push,Retention rate,10
11,H,2,"['Ptb', 'Android']",452,"[452, 452]",Random,[],XYZ,"['ExperimentName1', ' Experiment5']",24-04-2023,29-04-2023,30-04-2023,Push,Retention rate,10
12,H,5,[],452,"[452, 452, 452, 452, 452]",Systematic,[],Master Campaign Name ,"['ExperimentName2', 'sys-2', 'Experiment3', 'Exper4', 'Exp5']",24-04-2023,26-04-2023,07-05-2023,Push,Retention rate,10
13,H,4,[],452,"[452, 452, 452, 452]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3', 'Exper4']",24-04-2023,26-04-2023,07-05-2023,Push,Retention rate,10
14,H,4,[],452,"[452, 452, 452, 452]",Systematic,[],XYZ,"['ExperimentName2', 'Exper2', 'Experiment3', 'Exper4']",24-04-2023,28-04-2023,30-04-2023,Push,Retention rate,10
15,H,3,[],452,"[452, 452, 452]",Random,[],Master Campaign Name ,"['ExperimentName1', 'sys-2', 'Exper7']",24-04-2023,26-04-2023,30-04-2023,Push,Retention rate,10
16,H,3,"['Ptb', 'Android', 'Android', 'Ptb']",452,"[452, 452, 452]",Random,[],XYZ,"['ExperimentName2', ' Experiment5', 'ExperimentName3']",24-04-2023,27-04-2023,07-05-2023,Push,Retention rate,10
17,He,3,"['Android', 'Android']",452,"[452, 452, 452]",Stratified,"['App_unInstalled_flag', 'App_unInstalled_flag']",XYZ,"['ExperimentName2', 'Exper2', 'Exper3']",25-04-2023,27-04-2023,30-04-2023,Push,Retention rate,19
18,H,3,"['Android', 'Ptb', 'Android', 'Ptb']",452,"[998, 1000, 1000]",Stratified,"['No Emi Card', 'No Emi Card']",XYZ,"['ExperimentName2', 'Exper2', 'Experiment3']",25-04-2023,26-04-2023,30-04-2023,Push,Retention rate,17
