,Unnamed: 0,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
2983,99,100,5.7,2.8,4.1,1.3,Iris-versicolor
426,138,139,6.0,3.0,4.8,1.8,Iris-virginica
1367,138,139,6.0,3.0,4.8,1.8,Iris-virginica
3080,115,116,6.4,3.2,5.3,2.3,Iris-virginica
1848,32,33,5.2,4.1,1.5,0.1,Iris-setosa
2409,123,124,6.3,2.7,4.9,1.8,Iris-virginica
540,118,119,7.7,2.6,6.9,2.3,Iris-virginica
920,41,42,4.5,2.3,1.3,0.3,Iris-setosa
2743,98,99,5.1,2.5,3.0,1.1,Iris-versicolor
952,17,18,5.1,3.5,1.4,0.3,Iris-setosa
649,14,15,5.8,4.0,1.2,0.2,Iris-setosa
2210,84,85,5.4,3.0,4.5,1.5,Iris-versicolor
2861,147,148,6.5,3.0,5.2,2.0,Iris-virginica
598,11,12,4.8,3.4,1.6,0.2,Iris-setosa
2837,75,76,6.6,3.0,4.4,1.4,Iris-versicolor
3060,32,33,5.2,4.1,1.5,0.1,Iris-setosa
31,1,2,4.9,3.0,1.4,0.2,Iris-setosa
1331,107,108,7.3,2.9,6.3,1.8,Iris-virginica
1185,8,9,4.4,2.9,1.4,0.2,Iris-setosa
1292,124,125,6.7,3.3,5.7,2.1,Iris-virginica
828,43,44,5.0,3.5,1.6,0.6,Iris-setosa
366,44,45,5.1,3.8,1.9,0.4,Iris-setosa
148,103,104,6.3,2.9,5.6,1.8,Iris-virginica
284,72,73,6.3,2.5,4.9,1.5,Iris-versicolor
256,48,49,5.3,3.7,1.5,0.2,Iris-setosa
393,92,93,5.8,2.6,4.0,1.2,Iris-versicolor
1966,98,99,5.1,2.5,3.0,1.1,Iris-versicolor
2504,126,127,6.2,2.8,4.8,1.8,Iris-virginica
2596,82,83,5.8,2.7,3.9,1.2,Iris-versicolor
112,127,128,6.1,3.0,4.9,1.8,Iris-virginica
1730,143,144,6.8,3.2,5.9,2.3,Iris-virginica
247,133,134,6.3,2.8,5.1,1.5,Iris-virginica
2799,22,23,4.6,3.6,1.0,0.2,Iris-setosa
2342,102,103,7.1,3.0,5.9,2.1,Iris-virginica
2043,58,59,6.6,2.9,4.6,1.3,Iris-versicolor
3145,70,71,5.9,3.2,4.8,1.8,Iris-versicolor
971,82,83,5.8,2.7,3.9,1.2,Iris-versicolor
1615,124,125,6.7,3.3,5.7,2.1,Iris-virginica
1172,147,148,6.5,3.0,5.2,2.0,Iris-virginica
1338,97,98,6.2,2.9,4.3,1.3,Iris-versicolor
319,14,15,5.8,4.0,1.2,0.2,Iris-setosa
1273,96,97,5.7,2.9,4.2,1.3,Iris-versicolor
