,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1,2007-11-28,MUNDRAPORT,EQ,962.9,984.0,990.0,874.0,885.0,893.9,941.38,4581338,431276530165000.0,,1453278,0.3172
34,2008-01-16,MUNDRAPORT,EQ,1049.55,1046.0,1064.0,1000.0,1038.3,1030.4,1032.86,816188,84300609685000.0,,478517,0.5863
67,2008-03-03,MUNDRAPORT,EQ,735.65,725.0,725.0,692.3,698.1,699.25,709.31,182510,12945690220000.0,,101025,0.5535
100,2008-04-24,MUNDRAPORT,EQ,666.7,668.0,677.85,658.1,662.0,665.25,665.17,255828,17016807785000.0,,114951,0.4493
133,2008-06-12,MUNDRAPORT,EQ,607.1,597.9,604.4,570.0,588.0,593.5,588.72,506097,29794772310000.004,,171952,0.3398
166,2008-07-29,MUNDRAPORT,EQ,588.45,580.0,617.0,540.1,554.95,554.7,581.47,2243341,130442653705000.0,,400953,0.1787
199,2008-09-16,MUNDRAPORT,EQ,535.75,530.25,544.5,515.4,539.0,538.35,530.65,220585,11705303690000.0,,49174,0.2229
232,2008-11-05,MUNDRAPORT,EQ,347.3,360.0,368.9,352.4,354.5,354.75,360.03,364596,13126674340000.0,,180482,0.495
265,2008-12-26,MUNDRAPORT,EQ,312.8,313.5,316.95,303.0,304.0,305.45,309.74,68099,2109272770000.0,,28013,0.4114
298,2009-02-13,MUNDRAPORT,EQ,367.4,373.0,378.0,366.55,369.4,368.3,372.41,158836,5915168440000.0,,61064,0.3843999999999999
331,2009-04-08,MUNDRAPORT,EQ,385.15,373.4,373.4,358.6,365.0,365.65,365.48,711559,26006269850000.0,,304936,0.4285
364,2009-05-29,MUNDRAPORT,EQ,588.5,591.0,649.0,591.0,616.25,611.2,621.19,944627,58678826470000.01,,365515,0.3868999999999999
397,2009-07-15,MUNDRAPORT,EQ,525.1,531.0,547.8,529.1,539.9,540.15,539.79,544062,29368045030000.0,,240900,0.4428
430,2009-08-31,MUNDRAPORT,EQ,569.2,565.5,586.2,555.1,556.0,557.5,569.29,468321,26661054810000.0,,225055,0.4806
463,2009-10-21,MUNDRAPORT,EQ,547.35,546.35,554.0,537.5,538.5,540.5,546.05,191890,10478192965000.0,,107762,0.5616
496,2009-12-08,MUNDRAPORT,EQ,556.6,559.6,575.8,553.3,574.7,573.75,566.44,269111,15243656075000.0,,151955,0.5647
